tid,transaction_date,order_count,total_cost,sid,pid,c1,c2
1,20211111,31,44620,1,9,FE220CAF-9875-4815-A875-DD8B706ED23C,81FBB46D-384A-45CD-A5A7-04E558FFAE8C
2,20211001,39,30518,2,8,E75DAF40-27EE-41C8-B306-91151927C704,7958C45C-F8E4-4E64-A485-B38820E14703
3,20220315,74,8095,3,7,89BB1D41-B911-4822-87DD-0284563DACC6,5D9F3A2E-7FBF-4361-8965-D1A6FDD5B1BC
4,20211009,6,4658,4,6,52913889-87D9-48B1-A108-3C4327AF7EFD,18F854DF-E633-4210-B7C2-8B21D86B7012
5,20210609,36,27711,5,5,F9FE0972-7FF0-4604-A546-112851DCA561,748D5F21-C02F-45B7-9A88-FA8E7F114DFD
6,20210609,66,1477,6,4,41D64EDD-CAEC-4CBA-BB10-FA9F63FD3C77,7FD92194-2FEF-4B7E-AEC4-D2A93E26BEFD
7,20210930,2,9254,7,3,C4127574-27C2-4F89-BB9B-49835402B73A,EBB9E923-7D18-4B3F-8AA5-326B5FCEBE56
8,20210916,10,2418,8,2,9A4D87D7-6CB0-4D75-A369-38249E2A63C5,1AB787C4-A214-4EB8-9EA0-0CF4618B03E8
9,20211216,22,17981,9,1,B7B10CF9-4185-469E-9728-8B0293461A74,792B36E1-989A-4851-AB89-AD8B1E56CF3D
10,20211220,25,41993,1,10,361F6444-9272-42DD-80FD-AC72DDB3FC92,2E25E5F4-D299-4C8E-8E99-C5C21B46AE5C
11,20210914,24,44402,2,9,93E195C6-B6EB-47F7-B9B1-FE9CB8C8FEC2,89E6B319-4BD6-4303-BB2C-6DC8C412CA16
12,20220325,55,5399,3,8,5C23E159-AAF2-4651-82FA-1FA834A0A8A8,BC0E87CE-6189-482F-A31B-C9790209438B
13,20220227,70,26656,4,7,0314C1FB-B3BF-4FFD-9641-C163A3A01F79,2400BB22-E57B-43BE-B543-A685A3C27C79
14,20220105,39,47776,5,6,A1852610-6D41-487B-ACDC-303BB4CE1776,6FCF84CD-2ECB-49F8-A7B1-98239957DEE3
15,20220115,56,42237,6,5,01418A00-D427-4B63-9BCC-D17E0FC67294,09FF5CCB-0663-4848-9920-851540015393
16,20210930,28,9253,7,4,8EBDD9AD-C5EF-4993-94D2-52210639ED50,31FB5364-D8C4-450D-B575-C0DA05305E9D
17,20220322,53,3061,8,3,39C2D718-4E40-49C2-8791-00285998EA3D,F4EFC352-5A13-4F9D-8786-0D6A531A8A0C
18,20210728,63,6741,9,2,20B2630C-5C41-462E-BC6A-9E828A067EDB,3C001C19-A8B6-43A4-BEB8-CE2059406862
19,20210717,24,2853,10,1,613E89D9-1905-4895-8738-A3764E01075F,AC3245B9-AA2C-4BC2-8836-DB0AE0A030AA
20,20220317,60,25157,1,10,29DC1A51-DA46-490C-B704-4B3F22BBF59F,CF5FCC97-190A-4B9F-919F-E2BB2523BD8A
21,20220205,74,15081,2,9,6F9690E6-9125-4DCF-AC6E-9E8A94DD7E36,EC959B85-0D70-4A3F-9767-7C6C71E00F9C
22,20220312,10,16773,3,8,37773802-B681-40CE-AC5B-A11D9F441550,AAC84A8F-4CF7-404C-80D6-D334635C9BD3
23,20210717,28,23432,4,7,7F40601F-A80B-484F-BB59-367060576D8B,3CF3CD6F-9676-415F-8A2A-AD432F0378CD
24,20220331,53,13901,5,6,56C0C0AE-3D5C-451A-89FD-C497960F8E45,09EF963A-6361-4C5D-8224-79AB42C38E45
25,20211028,55,240,6,5,B1FDB1F6-6F1A-4F7E-9519-931B09980C69,2A05A9FC-66D4-4A99-9F6D-C2AC3426A5D5
26,20210626,60,1143,7,4,3348BCD5-F856-49D5-B638-87C1FD85725E,71BB92EB-531B-4E5C-8C1B-9167C1D5D148
27,20211129,46,31572,8,3,334E5F54-5AB6-45F9-95D5-D572345F120D,FE7C6204-32C8-4921-9C64-9C1873C1C5D1
28,20211119,73,27014,9,2,ADE4683A-10C6-40DA-BBDC-EE7837AB07CC,30D728B8-4A54-430C-BA9D-EFEE068481EF
29,20210625,2,35478,10,1,2362EC67-E263-4D4F-BA9E-6528E1BC2087,736D82D0-637E-471F-B74C-7FA2C0F4B9DD
30,20220323,2,36194,1,10,B05573B9-C085-4C7A-B8C6-395EF3CE9D00,7F4D0373-1C78-4A65-BB2B-C298686E16C7
31,20210818,22,27944,2,9,7EE4D87A-5CD4-4DA9-A333-3E5A2E51F07B,BDC21F34-66EE-4C02-A5C8-E0FB6CA06A5F
32,20210915,14,36243,3,8,427A2242-4E67-42EA-9037-516AF53265CE,075CE8A0-64C8-49F6-B68A-933B79ADDCA3
33,20220218,2,25203,4,7,E3E34260-603A-4E42-B906-A1DACF19EAE5,E0EE9361-8EDC-4687-A62A-BB36DF450D4F
34,20211110,10,43013,5,6,6B7B6442-5C67-433B-8A07-B6E426231605,7387E9D9-5EF2-4F44-9BD3-3E174D3915FC
35,20211117,28,49632,6,5,89610DA5-568E-4849-85A8-89EC80B699B3,0BA35B22-6E18-44F9-9822-BF916A063E8A
36,20220207,1,34351,7,4,9F0DDC62-4EAF-4279-930F-4224C4DEF59B,E117B675-8D21-4DAB-A38C-12FBA8B71D35
